,Trigger document,Earmarked Funds,Document item,Business Transaction,Consptn in Doc.Crncy,Currency,Revaluation rate,Consumption in LC,Local Currency,Delete Date,Document Date,Reduction text,Purchasing Document,Reference document,Reference procedure,Reference line item,Item,Line item,Seq. No. of Account Assgt,GL
13,0014211551 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-14,2018-02-13,Shipping,14211551.0,14211551.0,PREQ,20.0,20.0,,,2201.0
14,0014201345 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-02-07,2018-02-07,Freight Charges,14201345.0,14201345.0,PREQ,10.0,10.0,,,2201.0
15,0014155800 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-01-15,2018-01-12,Freight Charges,14155800.0,14155800.0,PREQ,10.0,10.0,,,2201.0
16,0014142904 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-01-10,2017-12-22,Freight,14142904.0,14142904.0,PREQ,20.0,20.0,,,2201.0
17,0014122260 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-12-07,2017-12-07,MBW Freight Charges,14122260.0,14122260.0,PREQ,10.0,10.0,,,2201.0
18,0014090790 00030,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-11-29,2017-11-16,Freight charges,14090790.0,14090790.0,PREQ,30.0,30.0,,,2201.0
19,0014080608 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-11-22,2017-11-08,Freight For,14080608.0,14080608.0,PREQ,20.0,20.0,,,2201.0
20,0014078358 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-11-08,2017-11-08,Freight Charges,14078358.0,14078358.0,PREQ,10.0,10.0,,,2201.0
21,0014078086 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-11-15,2017-11-07,Freight Charges,14078086.0,14078086.0,PREQ,20.0,20.0,,,2201.0
22,0014030126 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-10,2017-10-10,Freight Charges,14030126.0,14030126.0,PREQ,10.0,10.0,,,2201.0
23,0014022192 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-12,2017-10-03,Freight,14022192.0,14022192.0,PREQ,20.0,20.0,,,2201.0
24,0014010044 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-16,2017-09-26,Freight Charges,14010044.0,14010044.0,PREQ,20.0,20.0,,,2201.0
25,0014000270 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-05,2017-09-19,Freight,14000270.0,14000270.0,PREQ,20.0,20.0,,,2201.0
26,0013997185 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-05,2017-09-18,Shipping,13997185.0,13997185.0,PREQ,20.0,20.0,,,2201.0
27,0013991784 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-10-04,2017-09-13,Freight,13991784.0,13991784.0,PREQ,20.0,20.0,,,2201.0
28,0013985620 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-09-12,2017-09-11,Freight Charges,13985620.0,13985620.0,PREQ,10.0,10.0,,,2201.0
29,0013979822 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-09-14,2017-09-06,Freight Charges,13979822.0,13979822.0,PREQ,20.0,20.0,,,2201.0
30,0013947411 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-09-20,2017-08-10,Freight,13947411.0,13947411.0,PREQ,20.0,20.0,,,2201.0
31,0013945351 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-08-15,2017-08-09,Freight Charges,13945351.0,13945351.0,PREQ,10.0,10.0,,,2201.0
32,0013935929 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-08-03,2017-07-31,Shipping For Degreaser,13935929.0,13935929.0,PREQ,20.0,20.0,,,2201.0
33,0013911976 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-07-12,2017-07-11,Freight Charges,13911976.0,13911976.0,PREQ,10.0,10.0,,,2201.0
34,0013871684 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-06-12,2017-06-06,Freight Charges,13871684.0,13871684.0,PREQ,10.0,10.0,,,2201.0
35,0013844786 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-05-26,2017-05-24,Freight For,13844786.0,13844786.0,PREQ,20.0,20.0,,,2201.0
36,0013830287 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-05-09,2017-05-09,Freight Charges,13830287.0,13830287.0,PREQ,10.0,10.0,,,2201.0
37,0013822316 00030,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-06-01,2017-05-04,Freight Charges,13822316.0,13822316.0,PREQ,30.0,30.0,,,2201.0
38,0013794740 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-05-02,2017-04-19,Freight Charges,13794740.0,13794740.0,PREQ,20.0,20.0,,,2201.0
39,0013784472 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2017-04-19,2017-04-11,Freight Charges,13784472.0,13784472.0,PREQ,10.0,10.0,,,2201.0
41,4501723333 00004,,1.0,Purchase Order,0,CAD,,0,CAD,2018-03-28,2018-03-21,Freight,4501723333.0,4501723333.0,PORD,4.0,4.0,,,2201.0
42,4501723084 00002,,1.0,Purchase Order,24,CAD,,24,CAD,2018-03-21,2018-02-15,Freight Charges,4501723084.0,4501723084.0,PORD,2.0,2.0,,,2201.0
43,4501721781 00002,,1.0,Purchase Order,67.52,CAD,,67.52,CAD,2018-03-27,2018-03-19,Freight charges,4501721781.0,4501721781.0,PORD,2.0,2.0,,,2201.0
44,4501721745 00002,,1.0,Purchase Order,86.86,CAD,,86.86,CAD,2018-03-28,2018-03-19,Freight,4501721745.0,4501721745.0,PORD,2.0,2.0,,,2201.0
45,4501721189 00002,,1.0,Purchase Order,160,CAD,,160,CAD,2018-03-27,2018-03-16,Freight Charges,4501721189.0,4501721189.0,PORD,2.0,2.0,,,2201.0
46,4501720310 00003,,1.0,Purchase Order,86.86,CAD,,86.86,CAD,2018-03-28,2018-03-15,Freight,4501720310.0,4501720310.0,PORD,3.0,3.0,,,2201.0
47,4501719147 00002,,1.0,Purchase Order,40.96,CAD,,40.96,CAD,2018-03-27,2018-03-13,Freight,4501719147.0,4501719147.0,PORD,2.0,2.0,,,2201.0
48,4501718040 00002,,1.0,Purchase Order,122.53,CAD,,122.53,CAD,2018-03-23,2018-03-12,Freight,4501718040.0,4501718040.0,PORD,2.0,2.0,,,2201.0
49,4501717950 00001,,1.0,Purchase Order,313.05,CAD,,313.05,CAD,2018-03-14,2018-03-12,Freight Charges,4501717950.0,4501717950.0,PORD,1.0,1.0,,,2201.0
50,4501717949 00002,,1.0,Purchase Order,45,CAD,,45,CAD,2018-03-27,2018-03-12,Freight,4501717949.0,4501717949.0,PORD,2.0,2.0,,,2201.0
51,4501717509 00002,,1.0,Purchase Order,40,CAD,,40,CAD,2018-03-23,2018-03-09,Freight,4501717509.0,4501717509.0,PORD,2.0,2.0,,,2201.0
52,4501696449 00015,,1.0,Purchase Order,15,CAD,,15,CAD,2018-03-09,2018-02-06,Freight,4501696449.0,4501696449.0,PORD,15.0,15.0,,,2201.0
53,4501715031 00003,,1.0,Purchase Order,87.08,CAD,,87.08,CAD,2018-03-16,2018-03-06,Freight,4501715031.0,4501715031.0,PORD,3.0,3.0,,,2201.0
54,4501706208 00006,,1.0,Purchase Order,25,CAD,,25,CAD,2018-03-07,2018-02-21,Freight,4501706208.0,4501706208.0,PORD,6.0,6.0,,,2201.0
55,4501713244 00003,,1.0,Purchase Order,25,CAD,,25,CAD,2018-03-23,2018-03-02,Freight,4501713244.0,4501713244.0,PORD,3.0,3.0,,,2201.0
56,4501712904 00001,,1.0,Purchase Order,99.01,CAD,,99.01,CAD,2018-03-05,2018-03-02,Fedex Freight,4501712904.0,4501712904.0,PORD,1.0,1.0,,,2201.0
57,4501710167 00002,,1.0,Purchase Order,60,CAD,,60,CAD,2018-03-07,2018-02-27,Freight,4501710167.0,4501710167.0,PORD,2.0,2.0,,,2201.0
58,4501709540 00004,,1.0,Purchase Order,71.31,CAD,,71.31,CAD,2018-03-19,2018-02-26,Freight,4501709540.0,4501709540.0,PORD,4.0,4.0,,,2201.0
59,4501706444 00002,,1.0,Purchase Order,134.51,CAD,,134.51,CAD,2018-02-26,2018-02-21,Freight,4501706444.0,4501706444.0,PORD,2.0,2.0,,,2201.0
60,4501701249 00002,,1.0,Purchase Order,42.5,CAD,,42.5,CAD,2018-03-14,2018-02-13,Shipping,4501701249.0,4501701249.0,PORD,2.0,2.0,,,2201.0
61,4501700664 00007,,1.0,Purchase Order,45,CAD,,45,CAD,2018-03-01,2018-02-12,Freight,4501700664.0,4501700664.0,PORD,7.0,7.0,,,2201.0
62,4501700037 00002,,1.0,Purchase Order,400,CAD,,400,CAD,2018-03-07,2018-02-12,Freight,4501700037.0,4501700037.0,PORD,2.0,2.0,,,2201.0
63,4501698672 00008,,1.0,Purchase Order,70,CAD,,70,CAD,2018-02-14,2018-02-08,Freight,4501698672.0,4501698672.0,PORD,8.0,8.0,,,2201.0
64,4501697261 00001,,1.0,Purchase Order,551.23,CAD,,551.23,CAD,2018-02-07,2018-02-07,Freight Charges,4501697261.0,4501697261.0,PORD,1.0,1.0,,,2201.0
65,4501679089 00002,,1.0,Purchase Order,20,CAD,,20,CAD,2018-02-06,2018-01-09,Freight,4501679089.0,4501679089.0,PORD,2.0,2.0,,,2201.0
66,4501680413 00012,,1.0,Purchase Order,35,CAD,,35,CAD,2018-02-02,2018-01-11,Freight,4501680413.0,4501680413.0,PORD,12.0,12.0,,,2201.0
67,4501679588 00003,,1.0,Purchase Order,30,CAD,,30,CAD,2018-01-25,2018-01-10,Freight Charges,4501679588.0,4501679588.0,PORD,3.0,3.0,,,2201.0
68,4501679588 00002,,1.0,Purchase Order,0,CAD,,0,CAD,2018-01-25,2018-01-10,Freight Charges,4501679588.0,4501679588.0,PORD,2.0,2.0,,,2201.0
69,4501687767 00002,,1.0,Purchase Order,60,CAD,,60,CAD,2018-02-02,2018-01-23,Freight,4501687767.0,4501687767.0,PORD,2.0,2.0,,,2201.0
70,4501688046 00004,,1.0,Purchase Order,170.59,CAD,,170.59,CAD,2018-02-16,2018-01-24,Freight - Estimate,4501688046.0,4501688046.0,PORD,4.0,4.0,,,2201.0
71,4501687617 00003,,1.0,Purchase Order,36,CAD,,36,CAD,2018-02-07,2018-01-23,Freight,4501687617.0,4501687617.0,PORD,3.0,3.0,,,2201.0
72,4501687555 00002,,1.0,Purchase Order,30,CAD,,30,CAD,2018-02-02,2018-01-23,Freight,4501687555.0,4501687555.0,PORD,2.0,2.0,,,2201.0
73,4501685903 00002,,1.0,Purchase Order,0,CAD,,0,CAD,2018-02-13,2018-01-19,Freight,4501685903.0,4501685903.0,PORD,2.0,2.0,,,2201.0
74,4501685515 00005,,1.0,Purchase Order,54.66,CAD,,54.66,CAD,2018-02-07,2018-01-19,Freight,4501685515.0,4501685515.0,PORD,5.0,5.0,,,2201.0
76,4501684183 00003,,1.0,Purchase Order,35,CAD,,35,CAD,2018-02-08,2018-01-17,Freight,4501684183.0,4501684183.0,PORD,3.0,3.0,,,2201.0
77,4501683718 00002,,1.0,Purchase Order,136.62,CAD,,136.62,CAD,2018-01-24,2018-01-17,Freight,4501683718.0,4501683718.0,PORD,2.0,2.0,,,2201.0
78,4501681947 00009,,1.0,Purchase Order,71.48,CAD,,71.48,CAD,2018-01-30,2018-01-15,Freight,4501681947.0,4501681947.0,PORD,9.0,9.0,,,2201.0
79,4501652248 00004,,1.0,Purchase Order,132.68,CAD,,132.68,CAD,2018-01-16,2017-11-08,Freight,4501652248.0,4501652248.0,PORD,4.0,4.0,,,2201.0
80,4501652194 00004,,1.0,Purchase Order,132.68,CAD,,132.68,CAD,2018-01-16,2017-11-08,Freight,4501652194.0,4501652194.0,PORD,4.0,4.0,,,2201.0
81,4501681275 00001,,1.0,Purchase Order,164.81,CAD,,164.81,CAD,2018-01-15,2018-01-12,Freight Charges,4501681275.0,4501681275.0,PORD,1.0,1.0,,,2201.0
82,4501680609 00002,,1.0,Purchase Order,0,CAD,,0,CAD,2019-02-03,2018-01-11,Freight,4501680609.0,4501680609.0,PORD,2.0,2.0,,,2201.0
83,4501680575 00002,,1.0,Purchase Order,35,CAD,,35,CAD,2018-02-02,2018-01-11,Freight,4501680575.0,4501680575.0,PORD,2.0,2.0,,,2201.0
84,4501679915 00002,,1.0,Purchase Order,279.64,CAD,,279.64,CAD,2018-01-16,2018-01-10,Freight,4501679915.0,4501679915.0,PORD,2.0,2.0,,,2201.0
85,4501679541 00002,,1.0,Purchase Order,30,CAD,,30,CAD,2018-01-23,2018-01-10,Freight,4501679541.0,4501679541.0,PORD,2.0,2.0,,,2201.0
86,4501678219 00002,,1.0,Purchase Order,27.29,CAD,,27.29,CAD,2018-01-17,2018-01-08,Freight,4501678219.0,4501678219.0,PORD,2.0,2.0,,,2201.0
87,4501677458 00002,,1.0,Purchase Order,85,CAD,,85,CAD,2018-01-10,2018-01-04,Freight Charges,4501677458.0,4501677458.0,PORD,2.0,2.0,,,2201.0
88,4501676032 00002,,1.0,Purchase Order,53.5,CAD,,53.5,CAD,2018-01-10,2017-12-22,Freight,4501676032.0,4501676032.0,PORD,2.0,2.0,,,2201.0
89,4501672180 00002,,1.0,Purchase Order,40.36,CAD,,40.36,CAD,2018-03-06,2017-12-14,Freight,4501672180.0,4501672180.0,PORD,2.0,2.0,,,2201.0
90,4501670613 00003,,1.0,Purchase Order,171,CAD,,171,CAD,2017-12-13,2017-12-12,Freight,4501670613.0,4501670613.0,PORD,3.0,3.0,,,2201.0
91,4501670370 00002,,1.0,Purchase Order,26.89,CAD,,26.89,CAD,2017-12-13,2017-12-12,Freight,4501670370.0,4501670370.0,PORD,2.0,2.0,,,2201.0
92,4501668534 00001,,1.0,Purchase Order,393.47,CAD,,393.47,CAD,2017-12-07,2017-12-07,MBW Freight Charges,4501668534.0,4501668534.0,PORD,1.0,1.0,,,2201.0
93,4501666789 00004,,1.0,Purchase Order,0,CAD,,0,CAD,2018-01-09,2017-12-05,Freight,4501666789.0,4501666789.0,PORD,4.0,4.0,,,2201.0
94,4501665918 00002,,1.0,Purchase Order,39.2,CAD,,39.2,CAD,2018-01-10,2017-12-04,Freight,4501665918.0,4501665918.0,PORD,2.0,2.0,,,2201.0
95,4501665271 00003,,1.0,Purchase Order,95,CAD,,95,CAD,2018-01-16,2017-12-01,Freight,4501665271.0,4501665271.0,PORD,3.0,3.0,,,2201.0
96,4501664791 00002,,1.0,Purchase Order,35,CAD,,35,CAD,2018-01-12,2017-12-01,Freight,4501664791.0,4501664791.0,PORD,2.0,2.0,,,2201.0
97,4501663497 00002,,1.0,Purchase Order,140,CAD,,140,CAD,2018-01-23,2017-11-29,Freight,4501663497.0,4501663497.0,PORD,2.0,2.0,,,2201.0
98,4501663142 00003,,1.0,Purchase Order,45.59,CAD,,45.59,CAD,2017-12-13,2017-11-29,Freight,4501663142.0,4501663142.0,PORD,3.0,3.0,,,2201.0
99,4501630643 00002,,1.0,Purchase Order,60,CAD,,60,CAD,2017-11-30,2017-10-02,Freight,4501630643.0,4501630643.0,PORD,2.0,2.0,,,2201.0
100,4501660949 00002,,1.0,Purchase Order,28.41,CAD,,28.41,CAD,2017-12-07,2017-11-24,Freight,4501660949.0,4501660949.0,PORD,2.0,2.0,,,2201.0
101,4501659811 00016,,1.0,Purchase Order,400,CAD,,400,CAD,2018-02-28,2017-11-23,estimated shipping costs - not to exceed,4501659811.0,4501659811.0,PORD,16.0,16.0,,,2201.0
102,4501657356 00004,,1.0,Purchase Order,35,CAD,,35,CAD,2018-01-12,2017-11-20,Freight,4501657356.0,4501657356.0,PORD,4.0,4.0,,,2201.0
104,4501653062 00010,,1.0,Purchase Order,170.71,CAD,,170.71,CAD,2017-11-16,2017-11-09,Freight,4501653062.0,4501653062.0,PORD,10.0,10.0,,,2201.0
105,4501652375 00002,,1.0,Purchase Order,24,CAD,,24,CAD,2017-11-22,2017-11-08,Freight For,4501652375.0,4501652375.0,PORD,2.0,2.0,,,2201.0
106,4501651773 00001,,1.0,Purchase Order,191.16,CAD,,191.16,CAD,2017-11-08,2017-11-08,Freight Charges,4501651773.0,4501651773.0,PORD,1.0,1.0,,,2201.0
107,4501651558 00002,,1.0,Purchase Order,26,CAD,,26,CAD,2017-11-15,2017-11-07,Freight Charges,4501651558.0,4501651558.0,PORD,2.0,2.0,,,2201.0
108,4501649897 00002,,1.0,Purchase Order,28.23,CAD,,28.23,CAD,2017-11-21,2017-11-06,Freight,4501649897.0,4501649897.0,PORD,2.0,2.0,,,2201.0
109,4501646082 00003,,1.0,Purchase Order,25,CAD,,25,CAD,2017-11-08,2017-10-30,Freight,4501646082.0,4501646082.0,PORD,3.0,3.0,,,2201.0
110,4501645725 00010,,1.0,Purchase Order,75,CAD,,75,CAD,2017-12-07,2017-10-30,Freight,4501645725.0,4501645725.0,PORD,10.0,10.0,,,2201.0
111,4501645636 00004,,1.0,Purchase Order,64.02,CAD,,64.02,CAD,2017-12-12,2017-10-30,Freight,4501645636.0,4501645636.0,PORD,4.0,4.0,,,2201.0
112,4501644582 00012,,1.0,Purchase Order,65,CAD,,65,CAD,2017-11-16,2017-10-26,Freight,4501644582.0,4501644582.0,PORD,12.0,12.0,,,2201.0
113,4501642171 00004,,1.0,Purchase Order,98.53,CAD,,98.53,CAD,2017-11-17,2017-10-24,Freight,4501642171.0,4501642171.0,PORD,4.0,4.0,,,2201.0
114,4501640095 00003,,1.0,Purchase Order,25,CAD,,25,CAD,2017-10-27,2017-10-19,Freight,4501640095.0,4501640095.0,PORD,3.0,3.0,,,2201.0
115,4501635362 00004,,1.0,Purchase Order,35,CAD,,35,CAD,2017-12-07,2017-10-11,Freight,4501635362.0,4501635362.0,PORD,4.0,4.0,,,2201.0
116,4501635301 00002,,1.0,Purchase Order,12.21,CAD,,12.21,CAD,2017-10-23,2017-10-11,Freight,4501635301.0,4501635301.0,PORD,2.0,2.0,,,2201.0
117,4501634854 00002,,1.0,Purchase Order,97.59,CAD,,97.59,CAD,2017-11-17,2017-10-11,Freight,4501634854.0,4501634854.0,PORD,2.0,2.0,,,2201.0
118,4501634025 00001,,1.0,Purchase Order,235.95,CAD,,235.95,CAD,2017-10-10,2017-10-10,Freight Charges,4501634025.0,4501634025.0,PORD,1.0,1.0,,,2201.0
119,4501633992 00003,,1.0,Purchase Order,35,CAD,,35,CAD,2017-11-01,2017-10-10,Freight,4501633992.0,4501633992.0,PORD,3.0,3.0,,,2201.0
120,4501632822 00002,,1.0,Purchase Order,231.25,CAD,,231.25,CAD,2017-10-18,2017-10-05,Freight,4501632822.0,4501632822.0,PORD,2.0,2.0,,,2201.0
121,4501631520 00002,,1.0,Purchase Order,91.53,CAD,,91.53,CAD,2017-10-11,2017-10-03,Freight,4501631520.0,4501631520.0,PORD,2.0,2.0,,,2201.0
122,4501630013 00002,,1.0,Purchase Order,78.38,CAD,,78.38,CAD,2017-10-18,2017-09-29,Freight,4501630013.0,4501630013.0,PORD,2.0,2.0,,,2201.0
123,4501629734 00003,,1.0,Purchase Order,26.3,CAD,,26.3,CAD,2017-10-04,2017-09-29,Freight,4501629734.0,4501629734.0,PORD,3.0,3.0,,,2201.0
124,4501629666 00002,,1.0,Purchase Order,19.34,CAD,,19.34,CAD,2017-10-04,2017-09-29,Freight,4501629666.0,4501629666.0,PORD,2.0,2.0,,,2201.0
126,4501627338 00002,,1.0,Purchase Order,387.5,CAD,,387.5,CAD,2017-11-17,2017-09-26,Freight Charges,4501627338.0,4501627338.0,PORD,2.0,2.0,,,2201.0
127,4501626770 00002,,1.0,Purchase Order,15,CAD,,15,CAD,2017-10-11,2017-09-25,Freight,4501626770.0,4501626770.0,PORD,2.0,2.0,,,2201.0
128,4501625075 00002,,1.0,Purchase Order,26.75,CAD,,26.75,CAD,2017-12-07,2017-09-21,Freight,4501625075.0,4501625075.0,PORD,2.0,2.0,,,2201.0
129,4501598783 00004,,1.0,Purchase Order,90,CAD,,90,CAD,2017-10-04,2017-07-25,Freight,4501598783.0,4501598783.0,PORD,4.0,4.0,,,2201.0
130,4501623997 00002,,1.0,Purchase Order,29.69,CAD,,29.69,CAD,2017-10-05,2017-09-19,Freight,4501623997.0,4501623997.0,PORD,2.0,2.0,,,2201.0
131,4501622737 00006,,1.0,Purchase Order,0,CAD,,0,CAD,2017-10-24,2017-09-18,Freight,4501622737.0,4501622737.0,PORD,6.0,6.0,,,2201.0
132,4501622726 00002,,1.0,Purchase Order,8.99,CAD,,8.99,CAD,2017-10-05,2017-09-18,Shipping,4501622726.0,4501622726.0,PORD,2.0,2.0,,,2201.0
133,4501621503 00002,,1.0,Purchase Order,35,CAD,,35,CAD,2017-10-17,2017-09-14,Freight,4501621503.0,4501621503.0,PORD,2.0,2.0,,,2201.0
134,4501621458 00002,,1.0,Purchase Order,73.48,CAD,,73.48,CAD,2017-10-04,2017-09-14,Freight,4501621458.0,4501621458.0,PORD,2.0,2.0,,,2201.0
135,4501620868 00002,,1.0,Purchase Order,25,CAD,,25,CAD,2017-10-04,2017-09-13,Freight,4501620868.0,4501620868.0,PORD,2.0,2.0,,,2201.0
136,4501619046 00001,,1.0,Purchase Order,202.75,CAD,,202.75,CAD,2017-09-12,2017-09-11,Freight Charges,4501619046.0,4501619046.0,PORD,1.0,1.0,,,2201.0
137,4501618164 00002,,1.0,Purchase Order,56.15,CAD,,56.15,CAD,2017-09-08,2017-09-07,Freight,4501618164.0,4501618164.0,PORD,2.0,2.0,,,2201.0
138,4501617163 00002,,1.0,Purchase Order,225.98,CAD,,225.98,CAD,2017-09-14,2017-09-06,Freight Charges,4501617163.0,4501617163.0,PORD,2.0,2.0,,,2201.0
139,4501616500 00002,,1.0,Purchase Order,0,CAD,,0,CAD,2017-09-07,2017-09-05,Freight,4501616500.0,4501616500.0,PORD,2.0,2.0,,,2201.0
140,4501615509 00002,,1.0,Purchase Order,125.7,CAD,,125.7,CAD,2017-10-18,2017-08-31,Freight,4501615509.0,4501615509.0,PORD,2.0,2.0,,,2201.0
141,4501615306 00004,,1.0,Purchase Order,31,CAD,,31,CAD,2017-10-04,2017-08-31,Freight,4501615306.0,4501615306.0,PORD,4.0,4.0,,,2201.0
142,4501614530 00002,,1.0,Purchase Order,24.99,CAD,,24.99,CAD,2017-09-22,2017-08-30,Freight,4501614530.0,4501614530.0,PORD,2.0,2.0,,,2201.0
143,4501614098 00002,,1.0,Purchase Order,0,CAD,,0,CAD,2017-09-20,2017-08-29,Freight,4501614098.0,4501614098.0,PORD,2.0,2.0,,,2201.0
144,4501614083 00002,,1.0,Purchase Order,30,CAD,,30,CAD,2017-09-18,2017-08-29,Freight,4501614083.0,4501614083.0,PORD,2.0,2.0,,,2201.0
145,4501614068 00002,,1.0,Purchase Order,25,CAD,,25,CAD,2017-10-04,2017-08-29,Freight,4501614068.0,4501614068.0,PORD,2.0,2.0,,,2201.0
146,4501605617 00002,,1.0,Purchase Order,19.13,CAD,,19.13,CAD,2017-09-15,2017-08-10,Freight,4501605617.0,4501605617.0,PORD,2.0,2.0,,,2201.0
147,4501606848 00002,,1.0,Purchase Order,85.96,CAD,,85.96,CAD,2019-02-03,2017-08-14,Freight Charges,4501606848.0,4501606848.0,PORD,2.0,2.0,,,2201.0
148,4501610218 00006,,1.0,Purchase Order,67.05,CAD,,67.05,CAD,2017-09-22,2017-08-21,Freight,4501610218.0,4501610218.0,PORD,6.0,6.0,,,2201.0
149,4501609012 00010,,1.0,Purchase Order,23,CAD,,23,CAD,2017-09-05,2017-08-17,Freight,4501609012.0,4501609012.0,PORD,10.0,10.0,,,2201.0
150,4501608660 00003,,1.0,Purchase Order,199.49,CAD,,199.49,CAD,2017-09-20,2017-08-17,Freight,4501608660.0,4501608660.0,PORD,3.0,3.0,,,2201.0
151,4501608069 00002,,1.0,Purchase Order,24.3,CAD,,24.3,CAD,2017-09-01,2017-08-16,Freight,4501608069.0,4501608069.0,PORD,2.0,2.0,,,2201.0
153,4501604535 00001,,1.0,Purchase Order,192.06,CAD,,192.06,CAD,2019-02-03,2017-08-09,Freight Charges,4501604535.0,4501604535.0,PORD,1.0,1.0,,,2201.0
154,4501604226 00002,,1.0,Purchase Order,50,CAD,,50,CAD,2017-08-15,2017-08-08,Freight,4501604226.0,4501604226.0,PORD,2.0,2.0,,,2201.0
155,4501602163 00003,,1.0,Purchase Order,25,CAD,,25,CAD,2017-09-05,2017-08-02,Freight,4501602163.0,4501602163.0,PORD,3.0,3.0,,,2201.0
156,4501600878 00002,,1.0,Purchase Order,42.5,CAD,,42.5,CAD,2017-08-03,2017-07-31,Shipping For Degreaser,4501600878.0,4501600878.0,PORD,2.0,2.0,,,2201.0
157,4501600019 00003,,1.0,Purchase Order,29.9,CAD,,29.9,CAD,2017-08-31,2017-07-27,Freight,4501600019.0,4501600019.0,PORD,3.0,3.0,,,2201.0
158,4501598429 00002,,1.0,Purchase Order,40,CAD,,40,CAD,2017-07-28,2017-07-25,Freight,4501598429.0,4501598429.0,PORD,2.0,2.0,,,2201.0
159,4501597726 00002,,1.0,Purchase Order,30,CAD,,30,CAD,2017-08-17,2017-07-24,Freight,4501597726.0,4501597726.0,PORD,2.0,2.0,,,2201.0
